Item,Estimated_Cost,Actual_Cost,Budget
Marketing,8096,2395,50000
Labor,8833,5930,50000
Maintenance,5469,9618,50000
Packaging,6955,8503,50000
Maintenance,5719,9797,50000
Maintenance,8850,9338,50000
Raw Materials,7014,9491,50000
Packaging,5958,6145,50000
Marketing,7265,3965,50000
Maintenance,1441,6765,50000
Utilities,8884,9740,50000
Raw Materials,8658,4012,50000
Labor,4212,5074,50000
Maintenance,2896,5301,50000
Logistics,2089,7311,50000
Maintenance,9674,1375,50000
Raw Materials,1308,6322,50000
Marketing,9784,9060,50000
Utilities,2018,2182,50000
Logistics,5493,7648,50000
Labor,4261,9847,50000
Logistics,8084,6476,50000
Maintenance,5290,5394,50000
Marketing,8101,9314,50000
Packaging,2357,4338,50000
Utilities,1082,2654,50000
Packaging,9442,2447,50000
Utilities,6411,9082,50000
Labor,3387,4257,50000
Transport,2408,9346,50000
Utilities,4728,7100,50000
Transport,6294,3216,50000
Packaging,9924,8928,50000
Utilities,1322,5435,50000
Labor,3057,6988,50000
Raw Materials,4060,9414,50000
Labor,4700,4537,50000
Labor,6635,9181,50000
Raw Materials,4384,2036,50000
Raw Materials,9997,9907,50000
Marketing,5225,1213,50000
Utilities,4456,1014,50000
Packaging,4664,5522,50000
Marketing,4096,3932,50000
Raw Materials,8428,2831,50000
Transport,8565,3343,50000
Packaging,5659,4324,50000
Transport,1148,9876,50000
Labor,6730,4823,50000
Maintenance,8163,8353,50000
Labor,7262,5593,50000
Labor,6553,3194,50000
Maintenance,1614,4191,50000
Utilities,9431,7319,50000
Raw Materials,1912,2451,50000
Transport,4013,3006,50000
Labor,6409,5117,50000
Maintenance,1158,7625,50000
Marketing,1547,1495,50000
Labor,6132,3078,50000
Transport,3900,4332,50000
Raw Materials,8674,8580,50000
Labor,3265,1126,50000
Labor,9946,2873,50000
Utilities,1734,3140,50000
Logistics,4791,7849,50000
Maintenance,5317,8437,50000
Marketing,2924,7102,50000
Marketing,1523,5538,50000
Packaging,6924,6684,50000
Raw Materials,9809,7118,50000
Packaging,1860,5324,50000
Transport,7184,3352,50000
Raw Materials,8492,8035,50000
Labor,6880,2408,50000
Logistics,8901,1898,50000
Labor,2307,7610,50000
Marketing,7346,7349,50000
Transport,3821,1278,50000
Maintenance,4865,5074,50000
Transport,7925,5074,50000
Labor,9226,8630,50000
Maintenance,3100,9419,50000
Transport,1436,8146,50000
Logistics,3572,7933,50000
Logistics,5362,7718,50000
Transport,1308,1623,50000
Maintenance,1491,7030,50000
Labor,6308,3633,50000
Transport,1521,5586,50000
Maintenance,2914,2140,50000
Utilities,3925,6085,50000
Logistics,4290,8086,50000
Utilities,4229,5084,50000
Labor,4577,7293,50000
Maintenance,6609,7288,50000
Utilities,3571,2041,50000
Maintenance,1232,2956,50000
Transport,3652,4643,50000
Labor,7250,6404,50000
Utilities,2216,7888,50000
Packaging,4539,3665,50000
Transport,1521,5440,50000
Logistics,4066,8418,50000
Packaging,1340,7549,50000
Packaging,9250,9757,50000
Raw Materials,4253,1972,50000
Raw Materials,5681,9528,50000
Labor,6633,2638,50000
Utilities,1242,2971,50000
Utilities,1227,2152,50000
Utilities,7703,9425,50000
Maintenance,3602,3926,50000
Transport,9318,6420,50000
Utilities,5430,6904,50000
Transport,5853,2651,50000
Labor,3168,3649,50000
Packaging,3748,7240,50000
Utilities,2308,6195,50000
Labor,2593,8914,50000
Utilities,2493,7762,50000
Raw Materials,8883,1654,50000
Marketing,5777,3509,50000
Labor,7438,2182,50000
Utilities,8108,2409,50000
Logistics,9438,5709,50000
Marketing,2082,3425,50000
Labor,1010,9832,50000
Logistics,3006,2004,50000
Logistics,4529,1367,50000
Maintenance,3292,6640,50000
Logistics,1944,1262,50000
Utilities,9626,2581,50000
Maintenance,7248,3980,50000
Raw Materials,3289,8801,50000
Utilities,4343,5784,50000
Packaging,3566,9967,50000
Logistics,2759,1374,50000
Raw Materials,6163,6619,50000
Marketing,4875,3092,50000
Labor,3228,3980,50000
Logistics,9459,6427,50000
Transport,8019,2756,50000
Raw Materials,5477,6842,50000
Transport,6917,7942,50000
Logistics,1514,9102,50000
Transport,2743,3866,50000
Logistics,8856,3870,50000
Labor,2448,7665,50000
Marketing,4887,8480,50000
Labor,1198,5730,50000
Utilities,2780,8305,50000
Raw Materials,5900,1578,50000
Transport,5422,5231,50000
Labor,6713,7468,50000
Logistics,6743,2635,50000
Labor,4504,8317,50000
Labor,8672,6763,50000
Raw Materials,3567,6007,50000
Marketing,5625,9100,50000
Packaging,8090,1573,50000
Labor,6352,3171,50000
Raw Materials,2419,4633,50000
Transport,3557,8706,50000
Logistics,8870,5787,50000
Utilities,1423,3503,50000
Packaging,1149,3409,50000
Maintenance,9095,2249,50000
Packaging,1138,4613,50000
Logistics,8065,7437,50000
Packaging,2870,4598,50000
Logistics,3061,9091,50000
Raw Materials,9120,9264,50000
Maintenance,9181,7276,50000
Labor,5280,1484,50000
Labor,6696,9614,50000
Packaging,1742,3407,50000
Raw Materials,7424,3427,50000
Maintenance,5181,7455,50000
Labor,9268,8184,50000
Transport,2991,5242,50000
Marketing,6256,1385,50000
Marketing,4705,3127,50000
Labor,2016,3335,50000
Maintenance,9288,5517,50000
Utilities,1994,5595,50000
Labor,7941,6985,50000
Utilities,9274,6358,50000
Utilities,5525,7627,50000
Logistics,6209,3781,50000
Logistics,1512,3942,50000
Maintenance,2922,8236,50000
Utilities,2697,9263,50000
Transport,2914,5757,50000
Maintenance,5753,9048,50000
Labor,7816,9448,50000
Packaging,9838,2610,50000
Transport,1797,2718,50000
Raw Materials,9268,2279,50000
Marketing,7224,2853,50000
Labor,7697,4142,50000
Labor,9933,8385,50000
Labor,2225,5591,50000
Transport,6566,1885,50000
Raw Materials,6922,8861,50000
Packaging,6036,1946,50000
Maintenance,9503,9587,50000
Logistics,3646,5561,50000
Raw Materials,8684,6665,50000
Transport,3731,9406,50000
Labor,9824,2980,50000
Marketing,5694,6960,50000
Labor,6545,7950,50000
Maintenance,4681,4019,50000
Utilities,1414,4876,50000
Marketing,9963,9587,50000
Labor,5479,2664,50000
Packaging,8199,8872,50000
Marketing,9678,6939,50000
Utilities,8532,6757,50000
Logistics,7407,6244,50000
Raw Materials,8309,7376,50000
Transport,9221,7017,50000
Logistics,9321,9396,50000
Labor,8945,9451,50000
Maintenance,6189,8570,50000
Raw Materials,5214,6292,50000
Logistics,3374,6280,50000
Labor,4983,2296,50000
Raw Materials,1207,5871,50000
Logistics,9139,6235,50000
Maintenance,5302,2647,50000
Labor,7911,7041,50000
Utilities,7690,9488,50000
Utilities,1111,3444,50000
Maintenance,8153,8890,50000
Marketing,5709,5247,50000
Maintenance,6040,2736,50000
Marketing,2409,7589,50000
Labor,9897,9799,50000
Logistics,6872,2438,50000
Marketing,9132,3193,50000
Labor,7275,4581,50000
Labor,7993,1576,50000
Packaging,5199,4441,50000
Transport,3600,5914,50000
Labor,5857,1531,50000
Marketing,8806,9541,50000
Transport,7805,8219,50000
Transport,8498,5860,50000
Labor,6039,5216,50000
Maintenance,3943,5157,50000
Maintenance,9067,1553,50000
Utilities,9360,2272,50000
Transport,7700,1088,50000
Labor,1984,6622,50000
Packaging,2107,7316,50000
Maintenance,9298,7117,50000
Packaging,8432,5536,50000
Labor,5342,9870,50000
Labor,2553,7695,50000
Logistics,3002,4296,50000
Transport,9104,7534,50000
Logistics,1497,9657,50000
Packaging,5949,9555,50000
Logistics,2421,4239,50000
Utilities,4474,9610,50000
Transport,6980,6833,50000
Raw Materials,5373,8894,50000
Logistics,9733,1525,50000
Packaging,8310,7866,50000
Maintenance,9980,7130,50000
Maintenance,9547,1221,50000
Maintenance,6643,7280,50000
Marketing,9441,7212,50000
Labor,7178,5902,50000
Transport,1531,4692,50000
Maintenance,9750,4807,50000
Raw Materials,2619,9871,50000
Maintenance,2291,1155,50000
Utilities,4124,7640,50000
Labor,5880,9387,50000
Packaging,5113,7820,50000
Labor,4911,5571,50000
Logistics,8159,7372,50000
Packaging,2107,8575,50000
Packaging,6427,6025,50000
Logistics,6270,1490,50000
Transport,7496,7164,50000
Logistics,2687,8110,50000
Marketing,6987,8591,50000
Packaging,5471,7251,50000
Packaging,6681,4421,50000
Logistics,4475,7451,50000
Transport,3577,9770,50000
Maintenance,3532,7560,50000
Utilities,5217,5106,50000
Raw Materials,7937,4496,50000
Transport,3029,8512,50000
Marketing,6958,8399,50000
Transport,6418,6424,50000
Labor,7190,9379,50000
Maintenance,8764,2503,50000
Maintenance,5819,5111,50000
Packaging,6919,3771,50000
Maintenance,9409,2347,50000
Maintenance,3810,1308,50000
Logistics,4415,4566,50000
Maintenance,6952,8616,50000
Maintenance,6433,6786,50000
Raw Materials,2716,3526,50000
Marketing,8897,9405,50000
Packaging,1289,5230,50000
Logistics,5697,5506,50000
Maintenance,1609,7722,50000
Packaging,3353,5689,50000
Marketing,8645,5365,50000
Logistics,1535,5480,50000
Utilities,4291,5114,50000
Maintenance,4757,3370,50000
Packaging,9948,1853,50000
Transport,8157,7830,50000
Logistics,4849,6096,50000
Logistics,9069,9384,50000
Packaging,9545,1988,50000
Maintenance,5830,2010,50000
Labor,5330,4295,50000
Raw Materials,9497,4641,50000
Transport,6229,1351,50000
Transport,3995,4151,50000
Labor,7970,1175,50000
Maintenance,3214,1165,50000
Logistics,1275,9615,50000
Logistics,7153,7752,50000
Raw Materials,7553,7820,50000
Transport,9338,9946,50000
Raw Materials,4548,6353,50000
Transport,7972,8247,50000
Maintenance,1851,4835,50000
Utilities,5523,5241,50000
Transport,9679,5694,50000
Utilities,2553,4511,50000
Transport,2761,3275,50000
Logistics,9775,4488,50000
Marketing,7799,3988,50000
Maintenance,5310,6331,50000
Labor,5605,9097,50000
Utilities,9702,9823,50000
Labor,8756,7025,50000
Maintenance,4813,2737,50000
Packaging,6891,6285,50000
Labor,7888,4499,50000
Maintenance,7194,4838,50000
Logistics,9147,2800,50000
Labor,4202,7001,50000
Utilities,1342,5413,50000
Marketing,8745,1544,50000
Labor,2423,3699,50000
Utilities,9337,1703,50000
Transport,5557,5683,50000
Maintenance,7647,8145,50000
Raw Materials,2911,5669,50000
Packaging,2339,1372,50000
Logistics,3246,4154,50000
Raw Materials,7446,2468,50000
Logistics,3951,5157,50000
Maintenance,1497,3661,50000
Logistics,1790,1094,50000
Marketing,9201,5529,50000
Labor,4098,4190,50000
Marketing,9184,2926,50000
Raw Materials,3816,6033,50000
Packaging,1326,1672,50000
Utilities,1882,1238,50000
Packaging,2671,9937,50000
Maintenance,6002,3786,50000
Maintenance,9929,6046,50000
Marketing,3174,7920,50000
Utilities,6235,5901,50000
Marketing,1923,7497,50000
Labor,5266,8979,50000
Transport,9112,5413,50000
Utilities,3824,7890,50000
Transport,6107,1808,50000
Packaging,7869,2590,50000
Labor,6720,1718,50000
Logistics,3070,3446,50000
Logistics,8346,4549,50000
Transport,7544,8610,50000
Raw Materials,5600,4757,50000
Packaging,1920,8245,50000
Transport,7091,3658,50000
Labor,4482,1275,50000
Transport,7472,1742,50000
Maintenance,2443,7212,50000
Marketing,3801,4232,50000
Raw Materials,2775,9347,50000
Maintenance,9220,3228,50000
Maintenance,3292,7819,50000
Labor,4703,8345,50000
Marketing,1825,6770,50000
Marketing,8711,7777,50000
Utilities,4741,7833,50000
Packaging,9330,5715,50000
Raw Materials,5452,3079,50000
Packaging,3259,8190,50000
Labor,2162,7316,50000
Raw Materials,4439,4881,50000
Utilities,3533,2439,50000
Transport,6612,4542,50000
Maintenance,8930,4639,50000
Raw Materials,3225,3356,50000
Packaging,4672,6546,50000
Maintenance,3160,3897,50000
Labor,9474,4954,50000
Packaging,2797,1764,50000
Transport,2244,1086,50000
Labor,8069,4349,50000
Logistics,8893,3145,50000
Transport,5408,4042,50000
Transport,2930,2487,50000
Maintenance,3518,8808,50000
Labor,1047,6104,50000
Labor,1133,5018,50000
Raw Materials,6675,6161,50000
Packaging,3364,8987,50000
Logistics,4509,7622,50000
Labor,8153,3543,50000
Raw Materials,5094,5311,50000
Logistics,3537,7078,50000
Marketing,8996,9672,50000
Marketing,6984,8356,50000
Logistics,3471,5029,50000
Marketing,3434,8038,50000
Utilities,6021,8319,50000
Labor,5335,2069,50000
Utilities,4522,9830,50000
Packaging,3305,1909,50000
Labor,6287,2699,50000
Raw Materials,1663,4417,50000
Utilities,6681,9156,50000
Utilities,8443,2475,50000
Packaging,6944,8197,50000
Utilities,8774,2915,50000
Transport,5849,7463,50000
Raw Materials,5200,9823,50000
Marketing,8097,9967,50000
Raw Materials,6022,6983,50000
Transport,4492,5071,50000
Packaging,6468,8198,50000
Packaging,8939,1620,50000
Labor,2673,7532,50000
Raw Materials,2342,8523,50000
Logistics,9431,6523,50000
Logistics,7570,3703,50000
Packaging,4049,1874,50000
Utilities,7283,5694,50000
Packaging,5247,8306,50000
Packaging,7574,6744,50000
Packaging,6331,3415,50000
Packaging,1399,9918,50000
Logistics,2937,4516,50000
Logistics,9373,7942,50000
Marketing,2074,7874,50000
Marketing,3573,9412,50000
Labor,3397,2228,50000
Packaging,1418,2516,50000
Logistics,1639,1482,50000
Raw Materials,3084,3620,50000
Transport,5589,3440,50000
Labor,1358,7961,50000
Logistics,2803,9206,50000
Raw Materials,6204,7423,50000
Packaging,8889,1634,50000
Maintenance,1538,7607,50000
Packaging,5439,2302,50000
Marketing,7888,6622,50000
Transport,1865,2683,50000
Logistics,7028,1556,50000
Logistics,9967,5214,50000
Utilities,5671,1291,50000
Transport,2035,2928,50000
Utilities,9552,2450,50000
Transport,3819,5540,50000
Marketing,9487,1917,50000
Utilities,2426,3692,50000
Raw Materials,6494,9803,50000
Utilities,1692,6084,50000
Labor,8593,2227,50000
Raw Materials,2067,2570,50000
Labor,2132,7403,50000
Packaging,8612,4280,50000
Transport,1946,3516,50000
Raw Materials,2615,1337,50000
Transport,9254,9264,50000
Packaging,6715,6197,50000
Maintenance,7069,3319,50000
Logistics,1393,8402,50000
Transport,8534,4330,50000
Packaging,8422,8229,50000
Transport,7202,3176,50000
Packaging,1519,9509,50000
Labor,1388,2184,50000
Packaging,1587,3729,50000
Utilities,4497,9612,50000
Maintenance,8669,7707,50000
Transport,3571,8409,50000
Packaging,9471,5130,50000
Packaging,7708,5782,50000
Transport,9996,3177,50000
Logistics,9266,7571,50000
Maintenance,3985,4657,50000
Maintenance,1709,8817,50000
Packaging,4662,1331,50000
Raw Materials,5630,9377,50000
Labor,2430,5079,50000
Maintenance,5991,9469,50000
Maintenance,6067,6672,50000
Marketing,9838,5739,50000
Utilities,3038,5817,50000
Maintenance,5133,3069,50000
Labor,6351,4643,50000
Utilities,3215,1485,50000
Utilities,4356,1371,50000
Transport,1102,3182,50000
Transport,9336,6255,50000
Transport,9946,9459,50000
Transport,7803,5490,50000
Marketing,5461,4301,50000
Maintenance,7296,4606,50000
Transport,7565,1277,50000
Packaging,7462,8852,50000
Raw Materials,1082,3069,50000
Transport,8963,8206,50000
Maintenance,6990,2832,50000
Transport,6752,3103,50000
Marketing,7222,7978,50000
Labor,4668,2147,50000
Labor,2615,1657,50000
Maintenance,5246,3444,50000
Packaging,3062,9213,50000
Labor,9971,7152,50000
Logistics,8555,6512,50000
Labor,2058,5799,50000
Raw Materials,3398,4808,50000
Maintenance,3330,4122,50000
Packaging,2759,8993,50000
Maintenance,1427,4861,50000
Labor,6377,1619,50000
Labor,6029,8196,50000
Labor,4876,7838,50000
Utilities,3116,8800,50000
Marketing,1559,6065,50000
Transport,6441,7367,50000
Logistics,3617,8437,50000
Marketing,1589,5881,50000
Maintenance,1498,1709,50000
Logistics,7347,9145,50000
Raw Materials,8904,1281,50000
Transport,8432,8282,50000
Raw Materials,6956,3322,50000
Packaging,5483,5933,50000
Utilities,9607,5225,50000
Maintenance,5996,4283,50000
Utilities,2591,2229,50000
Maintenance,5407,9160,50000
Raw Materials,4883,3755,50000
Raw Materials,2607,7068,50000
Raw Materials,4724,4300,50000
Maintenance,8555,7268,50000
Labor,1202,4208,50000
Raw Materials,4854,1262,50000
Utilities,9301,1820,50000
Packaging,1768,2230,50000
Transport,1138,9154,50000
Maintenance,1220,4696,50000
Logistics,8356,3553,50000
Utilities,4927,4716,50000
Marketing,3387,8766,50000
Packaging,3525,5014,50000
Marketing,6054,8660,50000
Transport,7956,5969,50000
Labor,2609,2281,50000
Raw Materials,6443,7536,50000
Maintenance,1198,5499,50000
Utilities,6984,6972,50000
Logistics,2369,5860,50000
Raw Materials,4571,5283,50000
Utilities,1488,1721,50000
Maintenance,4540,8732,50000
Marketing,3180,7876,50000
Raw Materials,4328,6489,50000
Transport,4634,8503,50000
Labor,1655,8959,50000
Transport,6986,2222,50000
Labor,1235,1931,50000
Packaging,1988,3852,50000
Utilities,2382,6265,50000
Raw Materials,6629,7877,50000
Raw Materials,3486,2768,50000
Packaging,2665,2118,50000
Labor,4986,8247,50000
Marketing,9186,8291,50000
Maintenance,2823,9179,50000
Transport,6828,4720,50000
Packaging,6430,1280,50000
Logistics,6336,1056,50000
Logistics,5088,7468,50000
Utilities,1610,1090,50000
Packaging,4868,1003,50000
Transport,5325,9724,50000
Transport,5435,8626,50000
Utilities,3163,9606,50000
Utilities,9262,9827,50000
Raw Materials,2749,6328,50000
Transport,5945,9454,50000
Maintenance,6172,9936,50000
Logistics,1341,6744,50000
Maintenance,5683,7258,50000
Labor,4831,1310,50000
Packaging,3379,9798,50000
Utilities,7105,6827,50000
Raw Materials,4869,7969,50000
Maintenance,7068,1108,50000
Marketing,3439,3333,50000
Logistics,8906,7615,50000
Raw Materials,8857,5463,50000
Raw Materials,6429,6225,50000
Maintenance,1471,5095,50000
Marketing,9059,5156,50000
Labor,4765,3294,50000
Maintenance,8826,5518,50000
Marketing,8912,7411,50000
Raw Materials,9845,1337,50000
Logistics,1461,6572,50000
Marketing,2173,1612,50000
Raw Materials,2667,8795,50000
Packaging,4321,3811,50000
Maintenance,9831,7923,50000
Utilities,5369,4318,50000
Maintenance,9673,3735,50000
Packaging,9273,4430,50000
Transport,5126,5019,50000
Transport,3793,8404,50000
Transport,7185,9708,50000
Maintenance,4785,3802,50000
Labor,1250,3131,50000
Maintenance,2620,7138,50000
Logistics,9457,9527,50000
Packaging,1021,4325,50000
Logistics,3123,7614,50000
Packaging,2510,9255,50000
Utilities,4852,4897,50000
Marketing,5775,3301,50000
Maintenance,8008,6528,50000
Maintenance,4422,8220,50000
Raw Materials,9431,1383,50000
Packaging,9242,9316,50000
Raw Materials,4007,3579,50000
Raw Materials,9667,5072,50000
Maintenance,1156,7786,50000
Labor,7342,5354,50000
Marketing,8598,7058,50000
Marketing,5761,3283,50000
Logistics,3019,6932,50000
Packaging,6237,3260,50000
Utilities,8923,5863,50000
Packaging,5170,1425,50000
Labor,6047,8353,50000
Labor,3414,4635,50000
Marketing,3155,9112,50000
Transport,4757,9331,50000
Raw Materials,1092,7706,50000
Raw Materials,7243,4041,50000
Marketing,9862,6254,50000
Packaging,3143,1114,50000
Labor,9423,6562,50000
Packaging,6971,1039,50000
Utilities,2602,4505,50000
Transport,3951,1109,50000
Marketing,2310,1536,50000
Raw Materials,8967,7079,50000
Maintenance,7246,8522,50000
Packaging,1158,5651,50000
Labor,4778,3048,50000
Maintenance,2586,6712,50000
Utilities,1377,6547,50000
Marketing,4295,6433,50000
Packaging,9905,8468,50000
Raw Materials,9929,8609,50000
Packaging,3500,6282,50000
Transport,2863,6795,50000
Logistics,8888,4625,50000
Maintenance,1491,5097,50000
Transport,9113,7929,50000
Utilities,8501,7122,50000
Raw Materials,8410,5918,50000
Maintenance,8731,7175,50000
Utilities,1945,9176,50000
Transport,9893,1228,50000
Transport,3484,1777,50000
Logistics,3755,1370,50000
Maintenance,8628,1101,50000
Raw Materials,8817,4242,50000
Transport,4033,7662,50000
Marketing,1389,7388,50000
Logistics,8834,5684,50000
Utilities,4347,9086,50000
Maintenance,1011,3762,50000
Labor,2620,8138,50000
Labor,9240,3183,50000
Raw Materials,7153,5566,50000
Marketing,9178,9969,50000
Transport,9452,9587,50000
Labor,9511,1478,50000
Raw Materials,2927,8626,50000
Utilities,7813,9345,50000
Logistics,3832,9196,50000
Marketing,7978,9114,50000
Marketing,5116,6806,50000
Packaging,1015,1774,50000
Raw Materials,4866,2315,50000
Raw Materials,3345,8686,50000
Packaging,9450,9445,50000
Logistics,2063,3403,50000
Transport,1275,7897,50000
Raw Materials,3566,4253,50000
Packaging,5922,4028,50000
Transport,2930,8158,50000
Logistics,4582,1578,50000
Transport,2331,9294,50000
Maintenance,9066,2293,50000
Marketing,1479,3042,50000
Utilities,5509,5440,50000
Marketing,4046,8140,50000
Marketing,2488,3020,50000
Maintenance,9152,3254,50000
Transport,3092,4479,50000
Transport,1829,5345,50000
Raw Materials,8655,3357,50000
Maintenance,3700,8809,50000
Raw Materials,9335,2660,50000
Maintenance,5930,4417,50000
Raw Materials,3804,7290,50000
Labor,8990,1676,50000
Packaging,7336,7624,50000
Marketing,9975,9287,50000
Marketing,7016,5310,50000
Logistics,5273,3762,50000
Utilities,7461,7292,50000
Packaging,8558,8006,50000
Transport,3198,4385,50000
Utilities,9802,4106,50000
Labor,9732,4379,50000
Logistics,8375,9990,50000
Utilities,8889,2868,50000
Logistics,1412,5329,50000
Marketing,8256,8378,50000
Transport,6868,9329,50000
Labor,6377,1559,50000
Marketing,6727,4557,50000
Packaging,2427,3884,50000
Raw Materials,4510,7398,50000
Maintenance,2637,6486,50000
Labor,5576,2099,50000
Transport,9371,1748,50000
Logistics,4396,6593,50000
Utilities,5677,7958,50000
Packaging,6525,9362,50000
Utilities,8122,3076,50000
Labor,2642,5597,50000
Packaging,2294,1540,50000
Transport,4536,7907,50000
Labor,8787,5570,50000
Transport,9555,9398,50000
Utilities,3116,2507,50000
Marketing,3561,1347,50000
Packaging,7039,2470,50000
Raw Materials,8400,1907,50000
Marketing,8868,7040,50000
Raw Materials,7265,6255,50000
Utilities,3542,8796,50000
Logistics,7720,3423,50000
Packaging,5020,7640,50000
Marketing,1883,9543,50000
Marketing,2172,7532,50000
Labor,8038,2170,50000
Maintenance,6595,4146,50000
Utilities,5674,6399,50000
Transport,8738,4237,50000
Utilities,9304,1966,50000
Transport,7688,8727,50000
Packaging,7542,2922,50000
Transport,9983,3251,50000
Logistics,2315,5569,50000
Raw Materials,4233,9935,50000
Transport,1050,6492,50000
Transport,1143,5261,50000
Labor,4687,1796,50000
Marketing,6801,3992,50000
Utilities,6252,9698,50000
Utilities,6618,8413,50000
Packaging,5485,6849,50000
Packaging,8337,3890,50000
Logistics,9151,5453,50000
Transport,9116,7681,50000
Maintenance,4730,9937,50000
Utilities,9940,9806,50000
Packaging,3944,5219,50000
Transport,5803,7527,50000
Packaging,2208,1923,50000
Logistics,4733,9651,50000
Raw Materials,1213,3751,50000
Raw Materials,7566,6522,50000
Packaging,2818,9805,50000
Raw Materials,4494,4758,50000
Packaging,1485,7995,50000
Transport,8544,4119,50000
Labor,4015,8958,50000
Maintenance,4479,9657,50000
Transport,7929,4038,50000
Labor,7414,3436,50000
Labor,6216,5650,50000
Utilities,5937,9731,50000
Transport,4118,2609,50000
Transport,1663,7893,50000
Packaging,2023,3579,50000
Labor,7316,2603,50000
Labor,5442,5973,50000
Labor,1236,2986,50000
Packaging,7686,6662,50000
Utilities,4343,4249,50000
Transport,7550,6587,50000
Labor,3125,4114,50000
Raw Materials,8958,3904,50000
Transport,4217,9751,50000
Packaging,2955,8891,50000
Utilities,7155,5840,50000
Raw Materials,8927,7260,50000
Packaging,1228,4050,50000
Marketing,5938,3843,50000
Transport,6060,4550,50000
Marketing,7815,3680,50000
Packaging,3886,2736,50000
Packaging,7874,8416,50000
Packaging,8605,4301,50000
Labor,3819,4408,50000
Utilities,3989,2480,50000
Labor,8138,5241,50000
Utilities,2993,6384,50000
Maintenance,4045,6217,50000
Labor,7193,3435,50000
Marketing,4305,9746,50000
Utilities,2992,6854,50000
Labor,4599,4546,50000
Transport,4587,6144,50000
Packaging,2305,5311,50000
Utilities,7363,6972,50000
Utilities,6467,8835,50000
Labor,5459,1712,50000
Maintenance,6087,2091,50000
Labor,1919,5164,50000
Logistics,9233,5976,50000
Marketing,2282,7668,50000
Marketing,7109,8825,50000
Utilities,3120,2160,50000
Utilities,5496,8001,50000
Labor,4150,1745,50000
Marketing,6306,9491,50000
Marketing,2833,5634,50000
Maintenance,8723,6288,50000
Transport,6878,6469,50000
Maintenance,6009,2439,50000
Logistics,4862,5677,50000
Raw Materials,1128,2751,50000
Packaging,2345,6672,50000
Maintenance,8369,2177,50000
Logistics,8132,2635,50000
Labor,5642,1676,50000
Transport,4223,9419,50000
Labor,4476,8361,50000
Packaging,6097,7428,50000
Logistics,9447,2897,50000
Raw Materials,6722,2255,50000
Transport,5746,4315,50000
Utilities,4411,1264,50000
Marketing,1075,8070,50000
Maintenance,4611,2492,50000
Logistics,9001,4170,50000
Labor,9696,4676,50000
Raw Materials,4392,9849,50000
Marketing,6111,6043,50000
Maintenance,7119,8325,50000
Marketing,3394,9586,50000
Maintenance,2416,9472,50000
Logistics,8843,7809,50000
Utilities,9431,4721,50000
Transport,7053,1588,50000
Logistics,2777,8839,50000
Marketing,7314,9860,50000
Marketing,6764,2698,50000
Marketing,5158,9755,50000
Transport,5146,6235,50000
Raw Materials,3631,6755,50000
Maintenance,6440,1907,50000
Logistics,4389,5271,50000
Logistics,1669,7130,50000
Utilities,4561,7406,50000
Marketing,7233,3758,50000
Packaging,6541,9276,50000
Logistics,8658,7894,50000
Transport,9807,2603,50000
Raw Materials,5658,7316,50000
Logistics,8421,6775,50000
Maintenance,8461,7750,50000
Transport,6630,4152,50000
Utilities,6355,8836,50000
Utilities,9012,7376,50000
Maintenance,5451,6657,50000
Marketing,3664,6065,50000
Utilities,5862,5686,50000
Raw Materials,9495,9862,50000
Transport,2515,4196,50000
Logistics,1583,1257,50000
Raw Materials,9558,1692,50000
Marketing,9650,1054,50000
Raw Materials,1119,9343,50000
Raw Materials,4284,7811,50000
Labor,8908,2797,50000
Raw Materials,4254,3471,50000
Maintenance,5459,7607,50000
Transport,6565,4830,50000
Labor,2968,2654,50000
Transport,3531,5289,50000
Transport,7389,3300,50000
Marketing,2929,8415,50000
Marketing,2943,1833,50000
Labor,9955,6330,50000
Utilities,4296,5336,50000
Packaging,6276,3234,50000
Marketing,6725,4478,50000
Packaging,1901,6642,50000
Marketing,6965,2743,50000
Marketing,4256,2564,50000
Transport,6506,7134,50000
Labor,9933,7246,50000
Transport,4553,8686,50000
Logistics,8432,3213,50000
Maintenance,2693,1003,50000
Transport,7495,4637,50000
Packaging,3129,5347,50000
Packaging,5011,8415,50000
Maintenance,4252,1471,50000
Raw Materials,2365,8069,50000
Raw Materials,9387,3313,50000
Maintenance,7203,6747,50000
Maintenance,1150,6672,50000
Transport,6180,2207,50000
Maintenance,5523,6893,50000
Logistics,8094,2789,50000
Labor,1330,4169,50000
Raw Materials,4324,6014,50000
Raw Materials,1954,4413,50000
Logistics,8400,1795,50000
Utilities,5449,8058,50000
Logistics,7360,8737,50000
Logistics,3044,8868,50000
Maintenance,6645,2703,50000
Marketing,7554,3644,50000
Marketing,4599,4040,50000
Logistics,7874,5482,50000
Maintenance,8041,1903,50000
Labor,6010,2446,50000
Marketing,4990,4497,50000
Utilities,8848,6339,50000
Packaging,6645,6403,50000
Maintenance,2575,3835,50000
Logistics,6019,6197,50000
Labor,7723,5132,50000
Labor,6754,4433,50000
Transport,3213,4601,50000
Labor,2226,2220,50000
Marketing,9555,5856,50000
Logistics,2947,4383,50000
Packaging,6544,7081,50000
Marketing,5753,2812,50000
Maintenance,4632,3319,50000
Packaging,6588,1675,50000
Maintenance,7658,1098,50000
Labor,5827,6203,50000
Utilities,7138,1097,50000
Raw Materials,6979,2260,50000
